Row,Block,Tree,nursery_id,year_planted,guard_tree,check_tree,dead_tree,PLANTID,PLANTID_ALT1,ACCID,ACP,ACNO,ACS,kentville_block,origin,apple_id,type
10,North,56,6046,2013,0,0,0,Charden,,17207,PI,589445,.05,NULL,USDA,510,cider
10,South,34,6047,2013,0,0,0,Charden,,17207,PI,589445,.05,NULL,USDA,510,cider
6,North,45,5165,2013,0,0,0,Charlamoff,,6552,PI,588978,.14,NULL,USDA,442,dessert
8,South,7,5167,2013,0,0,0,Charlamoff,,6552,PI,588978,.14,NULL,USDA,442,dessert
19,North,54,4340,2013,0,0,0,"Charles Ross",,18778,PI,589659,.04,NULL,USDA,387,cider
14,South,24,5002,2013,0,0,1,"Charles Ross",,18778,PI,589659,.04,NULL,USDA,387,cider
10,North,61,6307,2013,0,0,0,Charlotte,,14933,PI,589348,,59,Kentville,1217,dessert
7,South,17,6308,2013,0,0,0,Charlotte,,14933,PI,589348,,59,Kentville,1217,dessert
15,North,13,6083,2013,0,0,0,"Cheal's Golden Gem",,215642,PI,286787,.06,NULL,USDA,522,dessert
11,South,38,6084,2013,0,0,0,"Cheal's Golden Gem",,215642,PI,286787,.06,NULL,USDA,522,dessert
19,North,42,5261,2013,0,0,0,Cheddar,,168661,PI,199100,.08,NULL,USDA,474,cider
19,South,60,5262,2013,0,0,0,Cheddar,,168661,PI,199100,.08,NULL,USDA,474,cider
15,North,19,3295,2013,0,0,0,Chehalis,,21836,PI,589890,,113,Kentville,262,dessert
17,South,51,3296,2013,0,0,0,Chehalis,,21836,PI,589890,,113,Kentville,262,dessert
7,North,60,4331,2013,0,0,1,"Chenango Strawberry",,12705,PI,589239,.09,NULL,USDA,384,dessert
5,South,13,4333,2013,0,0,1,"Chenango Strawberry",,12705,PI,589239,.09,NULL,USDA,384,dessert
13,North,35,5237,2013,0,0,0,Chieftain,,21339,PI,589854,.04,NULL,USDA,466,dessert
4,South,33,5239,2013,0,0,0,Chieftain,,21339,PI,589854,.04,NULL,USDA,466,dessert
2,North,9,2257,2013,0,0,1,"Chisel Jersey",,2937,PI,588806,.15,NULL,USDA,153,dessert
7,South,58,2259,2013,0,0,1,"Chisel Jersey",,2937,PI,588806,.15,NULL,USDA,153,dessert
2,North,18,5264,2013,0,0,1,"Chiver's Delight",,19060,PI,589696,.06,NULL,USDA,475,cider
3,South,32,5265,2013,0,0,0,"Chiver's Delight",,19060,PI,589696,.06,NULL,USDA,475,cider
11,North,12,5117,2013,0,0,0,"Claudius Herbstapfel",,133875,PI,131001,.14,NULL,USDA,426,dessert
5,South,33,5118,2013,0,0,1,"Claudius Herbstapfel",,133875,PI,131001,.14,NULL,USDA,426,dessert
7,North,12,6136,2013,0,0,0,"Clear Gold",,12258,PI,589224,.08,NULL,USDA,538,dessert
